% ============================================================================
%  |||| This file is generated by UCAMaker ||||
%  It contains customized sorting keys for non decomposable characters
%  Name     :  col_hi_IN_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for ELangHindi, ELOCL.58
%  Generated on : 1.12.2005 13:52:09
%  Language : Hindi
%  Region : India
%
%  Copyright ©2005 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================



002D ; [.020C.0020.0002.002D] % HYPHEN-MINUS
002E ; [.0226.0020.0002.002E] % FULL STOP : Goes after :  HYPHEN-MINUS
002F ; [.0265.0020.0002.002F] % SOLIDUS : Goes after :  FULL STOP
003A ; [.021C.0020.0002.003A] % COLON : Goes after :  SOLIDUS
003B ; [.021A.0020.0002.003B] % SEMICOLON : Goes after :  COLON
003C ; [.036D.0020.0002.003C] % LESS-THAN SIGN : Goes after :  SEMICOLON
003D ; [.036E.0020.0002.003D] % EQUALS SIGN : Goes after :  LESS-THAN SIGN
003E ; [.036F.0020.0002.003E] % GREATER-THAN SIGN : Goes after :  EQUALS SIGN
003F ; [.0221.0020.0002.003F] % QUESTION MARK : Goes after :  GREATER-THAN SIGN
0040 ; [.0262.0020.0002.0040] % COMMERCIAL AT : Goes after :  QUESTION MARK
005B ; [.0240.0020.0002.005B] % LEFT SQUARE BRACKET : Goes after :  COMMERCIAL AT
005C ; [.0267.0020.0002.005C] % REVERSE SOLIDUS : Goes after :  LEFT SQUARE BRACKET
005D ; [.0241.0020.0002.005D] % RIGHT SQUARE BRACKET : Goes after :  REVERSE SOLIDUS
005E ; [.0209.003C.0002.005E] % CIRCUMFLEX ACCENT : Goes after :  RIGHT SQUARE BRACKET
005F ; [.0209.0021.0002.005F] % LOW LINE : Goes after :  CIRCUMFLEX ACCENT
0060 ; [.0209.0035.0002.0060] % GRAVE ACCENT : Goes after :  LOW LINE
007B ; [.0242.0020.0002.007B] % LEFT CURLY BRACKET : Goes after :  GRAVE ACCENT
007C ; [.0371.0020.0002.007C] % VERTICAL LINE : Goes after :  LEFT CURLY BRACKET
007D ; [.0243.0020.0002.007D] % RIGHT CURLY BRACKET : Goes after :  VERTICAL LINE
007E ; [.0374.0020.0002.007E] % TILDE : Goes after :  RIGHT CURLY BRACKET
00A1 ; [.021F.0020.0002.00A1] % INVERTED EXCLAMATION MARK : Goes after :  TILDE
00A6 ; [.0372.0020.0002.00A6] % BROKEN BAR : Goes after :  INVERTED EXCLAMATION MARK
00A7 ; [.025E.0020.0002.00A7] % SECTION SIGN : Goes after :  BROKEN BAR
