% ============================================================================
%  This file contains customized sorting keys for non decomposable characters
%  Name     :  SORT_eng_in_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for Indic English ELOCL.186
%  Generated on : 30.5.2006 8:22:48
%  Language : Indic English
%  Region : India
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================


0024 ; [.01BB.0020.0002.0024] % 
00A3 ; [.01BC.0020.0002.00A3] % 
00A5 ; [.01BD.0020.0002.00A5] % 
20AC ; [.01BE.0020.0002.20AC] % 

%numbers

0030 ; [.01C5.0050.0002.0030] % DIGIT ZERO
FF10 ; [.01C5.0050.0003.FF10] % FULLWIDTH DIGIT ZERO : Goes after :  DIGIT ZERO
24EA ; [.01C5.0050.0006.24EA] % CIRCLED DIGIT ZERO : Goes after :  FULLWIDTH DIGIT ZERO
2070 ; [.01C5.0050.0014.2070] % SUPERSCRIPT ZERO : Goes after :  CIRCLED DIGIT ZERO
2080 ; [.01C5.0050.0015.2080] % SUBSCRIPT ZERO : Goes after :  SUPERSCRIPT ZERO
0660 ; [.01C5.0050.0002.0660] % ARABIC-INDIC DIGIT ZERO : Goes after :  SUBSCRIPT ZERO
06F0 ; [.01C5.0050.0002.06F0] % EXTENDED ARABIC-INDIC DIGIT ZERO : Goes after :  ARABIC-INDIC DIGIT ZERO
0966 ; [.01C5.0040.0002.0966] % DEVANAGARI DIGIT ZERO : Goes after :  EXTENDED ARABIC-INDIC DIGIT ZERO
09E6 ; [.01C5.0050.0002.09E6] % BENGALI DIGIT ZERO : Goes after :  DEVANAGARI DIGIT ZERO
0A66 ; [.01C5.0050.0002.0A66] % GURMUKHI DIGIT ZERO : Goes after :  BENGALI DIGIT ZERO
0AE6 ; [.01C5.0050.0002.0AE6] % GUJARATI DIGIT ZERO : Goes after :  GURMUKHI DIGIT ZERO
0B66 ; [.01C5.0050.0002.0B66] % ORIYA DIGIT ZERO : Goes after :  GUJARATI DIGIT ZERO
0C66 ; [.01C5.0050.0002.0C66] % TELUGU DIGIT ZERO : Goes after :  ORIYA DIGIT ZERO
0CE6 ; [.01C5.0050.0002.0CE6] % KANNADA DIGIT ZERO : Goes after :  TELUGU DIGIT ZERO
0D66 ; [.01C5.0050.0002.0D66] % MALAYALAM DIGIT ZERO : Goes after :  KANNADA DIGIT ZERO
0E50 ; [.01C5.0050.0002.0E50] % THAI DIGIT ZERO : Goes after :  MALAYALAM DIGIT ZERO
0ED0 ; [.01C5.0050.0002.0ED0] % LAO DIGIT ZERO : Goes after :  THAI DIGIT ZERO
0F20 ; [.01C5.0050.0002.0F20] % TIBETAN DIGIT ZERO : Goes after :  LAO DIGIT ZERO
3007 ; [.01C5.0050.0002.3007] % IDEOGRAPHIC NUMBER ZERO : Goes after :  TIBETAN DIGIT ZERO
0031 ; [.01C6.0050.0002.0031] % DIGIT ONE : Goes after :  IDEOGRAPHIC NUMBER ZERO
FF11 ; [.01C6.0050.0003.FF11] % FULLWIDTH DIGIT ONE : Goes after :  DIGIT ONE
2460 ; [.01C6.0050.0006.2460] % CIRCLED DIGIT ONE : Goes after :  FULLWIDTH DIGIT ONE
00B9 ; [.01C6.0050.0014.00B9] % SUPERSCRIPT ONE : Goes after :  CIRCLED DIGIT ONE
2081 ; [.01C6.0050.0015.2081] % SUBSCRIPT ONE : Goes after :  SUPERSCRIPT ONE
2776 ; [.01C6.0050.0006.2776] % DINGBAT NEGATIVE CIRCLED DIGIT ONE : Goes after :  SUBSCRIPT ONE
2780 ; [.01C6.0050.0006.2780] % DINGBAT CIRCLED SANS-SERIF DIGIT ONE : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT ONE
278A ; [.01C6.0050.0006.278A] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT ONE
0661 ; [.01C6.0050.0002.0661] % ARABIC-INDIC DIGIT ONE : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
06F1 ; [.01C6.0050.0002.06F1] % EXTENDED ARABIC-INDIC DIGIT ONE : Goes after :  ARABIC-INDIC DIGIT ONE
0967 ; [.01C6.0040.0002.0967] % DEVANAGARI DIGIT ONE : Goes after :  EXTENDED ARABIC-INDIC DIGIT ONE
09E7 ; [.01C6.0050.0002.09E7] % BENGALI DIGIT ONE : Goes after :  DEVANAGARI DIGIT ONE
09F4 ; [.01C6.0050.0002.09F4] % BENGALI CURRENCY NUMERATOR ONE : Goes after :  BENGALI DIGIT ONE
0A67 ; [.01C6.0050.0002.0A67] % GURMUKHI DIGIT ONE : Goes after :  BENGALI CURRENCY NUMERATOR ONE
0AE7 ; [.01C6.0050.0002.0AE7] % GUJARATI DIGIT ONE : Goes after :  GURMUKHI DIGIT ONE
0B67 ; [.01C6.0050.0002.0B67] % ORIYA DIGIT ONE : Goes after :  GUJARATI DIGIT ONE
0BE7 ; [.01C6.0050.0002.0BE7] % TAMIL DIGIT ONE : Goes after :  ORIYA DIGIT ONE
0C67 ; [.01C6.0050.0002.0C67] % TELUGU DIGIT ONE : Goes after :  TAMIL DIGIT ONE
0CE7 ; [.01C6.0050.0002.0CE7] % KANNADA DIGIT ONE : Goes after :  TELUGU DIGIT ONE
0D67 ; [.01C6.0050.0002.0D67] % MALAYALAM DIGIT ONE : Goes after :  KANNADA DIGIT ONE
0E51 ; [.01C6.0050.0002.0E51] % THAI DIGIT ONE : Goes after :  MALAYALAM DIGIT ONE
0ED1 ; [.01C6.0050.0002.0ED1] % LAO DIGIT ONE : Goes after :  THAI DIGIT ONE
0F21 ; [.01C6.0050.0002.0F21] % TIBETAN DIGIT ONE : Goes after :  LAO DIGIT ONE
3021 ; [.01C6.0050.0002.3021] % HANGZHOU NUMERAL ONE : Goes after :  TIBETAN DIGIT ONE
0032 ; [.01C7.0050.0002.0032] % DIGIT TWO : Goes after :  HANGZHOU NUMERAL ONE
FF12 ; [.01C7.0050.0003.FF12] % FULLWIDTH DIGIT TWO : Goes after :  DIGIT TWO
2461 ; [.01C7.0050.0006.2461] % CIRCLED DIGIT TWO : Goes after :  FULLWIDTH DIGIT TWO
00B2 ; [.01C7.0050.0014.00B2] % SUPERSCRIPT TWO : Goes after :  CIRCLED DIGIT TWO
2082 ; [.01C7.0050.0015.2082] % SUBSCRIPT TWO : Goes after :  SUPERSCRIPT TWO
2777 ; [.01C7.0050.0006.2777] % DINGBAT NEGATIVE CIRCLED DIGIT TWO : Goes after :  SUBSCRIPT TWO
2781 ; [.01C7.0050.0006.2781] % DINGBAT CIRCLED SANS-SERIF DIGIT TWO : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT TWO
278B ; [.01C7.0050.0006.278B] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT TWO
0662 ; [.01C7.0050.0002.0662] % ARABIC-INDIC DIGIT TWO : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
06F2 ; [.01C7.0050.0002.06F2] % EXTENDED ARABIC-INDIC DIGIT TWO : Goes after :  ARABIC-INDIC DIGIT TWO
0968 ; [.01C7.0040.0002.0968] % DEVANAGARI DIGIT TWO : Goes after :  EXTENDED ARABIC-INDIC DIGIT TWO
09E8 ; [.01C7.0050.0002.09E8] % BENGALI DIGIT TWO : Goes after :  DEVANAGARI DIGIT TWO
09F5 ; [.01C7.0050.0002.09F5] % BENGALI CURRENCY NUMERATOR TWO : Goes after :  BENGALI DIGIT TWO
0A68 ; [.01C7.0050.0002.0A68] % GURMUKHI DIGIT TWO : Goes after :  BENGALI CURRENCY NUMERATOR TWO
0AE8 ; [.01C7.0050.0002.0AE8] % GUJARATI DIGIT TWO : Goes after :  GURMUKHI DIGIT TWO
0B68 ; [.01C7.0050.0002.0B68] % ORIYA DIGIT TWO : Goes after :  GUJARATI DIGIT TWO
0BE8 ; [.01C7.0050.0002.0BE8] % TAMIL DIGIT TWO : Goes after :  ORIYA DIGIT TWO
0C68 ; [.01C7.0050.0002.0C68] % TELUGU DIGIT TWO : Goes after :  TAMIL DIGIT TWO
0CE8 ; [.01C7.0050.0002.0CE8] % KANNADA DIGIT TWO : Goes after :  TELUGU DIGIT TWO
