% ============================================================================ 
%  This file contains customized sorting keys for non decomposable characters 
%  Name     :  sort_kan_IN_strings.txt 
%  
%  Description : ELOCL.DLL for ELangkannada, ELOCL.xx 
%  Generated on : Mon Mar 26 18:41:17 2007 
%  Language : kannada 
%  Region : India 
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related 
%  computer programs, is protected by copyright controlled by 
%  Nokia Corporation. All rights are reserved. Copying, 
%  including reproducing, storing,  adapting or translating, any 
%  or all of this material requires the prior written consent of 
%  Nokia Corporation. This material also contains confidential 
%  information which may not be disclosed to others without the 
%  prior written consent of Nokia Corporation. 
%  ============================================================================  

% Modifiers  

% Vowels 
0C85 0C82;[.0752.0020.0002.0C85]
0C85 0C83;[.0753.0020.0002.0C85]
% RULE for base vowel 0C85 in basekeys.txt 

0C86 0C82;[.0755.0020.0002.0C86]
0C86 0C83;[.0756.0020.0002.0C86]
% RULE for base vowel 0C86 in basekeys.txt 

0C87 0C82;[.0758.0020.0002.0C87]
0C87 0C83;[.0759.0020.0002.0C87]
% RULE for base vowel 0C87 in basekeys.txt 

0C88 0C82;[.075B.0020.0002.0C88]
0C88 0C83;[.075C.0020.0002.0C88]
% RULE for base vowel 0C88 in basekeys.txt 

0C89 0C82;[.075E.0020.0002.0C89]
0C89 0C83;[.075F.0020.0002.0C89]
% RULE for base vowel 0C89 in basekeys.txt 

0C8A 0C82;[.0761.0020.0002.0C8A]
0C8A 0C83;[.0762.0020.0002.0C8A]
% RULE for base vowel 0C8A in basekeys.txt 

0C8B 0C82;[.0764.0020.0002.0C8B]
0C8B 0C83;[.0765.0020.0002.0C8B]
% RULE for base vowel 0C8B in basekeys.txt 

0CE0 0C82;[.0767.0020.0002.0CE0]
0CE0 0C83;[.0768.0020.0002.0CE0]
% RULE for base vowel 0CE0 in basekeys.txt 

0C8C 0C82;[.076A.0020.0002.0C8C]
0C8C 0C83;[.076B.0020.0002.0C8C]
% RULE for base vowel 0C8C in basekeys.txt 

0CE1 0C82;[.076D.0020.0002.0CE1]
0CE1 0C83;[.076E.0020.0002.0CE1]
% RULE for base vowel 0CE1 in basekeys.txt 

0C8E 0C82;[.0770.0020.0002.0C8E]
0C8E 0C83;[.0771.0020.0002.0C8E]
% RULE for base vowel 0C8E in basekeys.txt 

0C8F 0C82;[.0773.0020.0002.0C8F]
0C8F 0C83;[.0774.0020.0002.0C8F]
% RULE for base vowel 0C8F in basekeys.txt 

0C90 0C82;[.0776.0020.0002.0C90]
0C90 0C83;[.0777.0020.0002.0C90]
% RULE for base vowel 0C90 in basekeys.txt 

0C92 0C82;[.0779.0020.0002.0C92]
0C92 0C83;[.077A.0020.0002.0C92]
% RULE for base vowel 0C92 in basekeys.txt 

0C93 0C82;[.077C.0020.0002.0C93]
0C93 0C83;[.077D.0020.0002.0C93]
% RULE for base vowel 0C93 in basekeys.txt 

0C94 0C82;[.077F.0020.0002.0C94]
0C94 0C83;[.0780.0020.0002.0C94]
% RULE for base vowel 0C94 in basekeys.txt 


% Avagraha Rule in Basekeys.txt 

% Consonants 
0C95 0C82;[.0783.0020.0002.0C95]
0C95 0CBC 0C82;[.0783.0020.0008.0C95]
0C95 0C83;[.0784.0020.0002.0C95]
0C95 0CBC 0C83;[.0784.0020.0008.0C95]
% RULE for base consonant 0C95 in basekeys.txt 
0C95 0CBC;[.0785.0020.0008.0C95]


0C96 0C82;[.0786.0020.0002.0C96]
0C96 0CBC 0C82;[.0786.0020.0008.0C96]
0C96 0C83;[.0787.0020.0002.0C96]
0C96 0CBC 0C83;[.0787.0020.0008.0C96]
% RULE for base consonant 0C96 in basekeys.txt 
0C96 0CBC;[.0788.0020.0008.0C96]


0C97 0C82;[.0789.0020.0002.0C97]
0C97 0CBC 0C82;[.0789.0020.0008.0C97]
0C97 0C83;[.078A.0020.0002.0C97]
0C97 0CBC 0C83;[.078A.0020.0008.0C97]
% RULE for base consonant 0C97 in basekeys.txt 
0C97 0CBC;[.078B.0020.0008.0C97]


0C98 0C82;[.078C.0020.0002.0C98]
0C98 0CBC 0C82;[.078C.0020.0008.0C98]
0C98 0C83;[.078D.0020.0002.0C98]
0C98 0CBC 0C83;[.078D.0020.0008.0C98]
% RULE for base consonant 0C98 in basekeys.txt 
0C98 0CBC;[.078E.0020.0008.0C98]


0C99 0C82;[.078F.0020.0002.0C99]
0C99 0CBC 0C82;[.078F.0020.0008.0C99]
0C99 0C83;[.0790.0020.0002.0C99]
0C99 0CBC 0C83;[.0790.0020.0008.0C99]
% RULE for base consonant 0C99 in basekeys.txt 
0C99 0CBC;[.0791.0020.0008.0C99]


0C9A 0C82;[.0792.0020.0002.0C9A]
0C9A 0CBC 0C82;[.0792.0020.0008.0C9A]
0C9A 0C83;[.0793.0020.0002.0C9A]
0C9A 0CBC 0C83;[.0793.0020.0008.0C9A]
% RULE for base consonant 0C9A in basekeys.txt 
0C9A 0CBC;[.0794.0020.0008.0C9A]


0C9B 0C82;[.0795.0020.0002.0C9B]
0C9B 0CBC 0C82;[.0795.0020.0008.0C9B]
0C9B 0C83;[.0796.0020.0002.0C9B]
0C9B 0CBC 0C83;[.0796.0020.0008.0C9B]
% RULE for base consonant 0C9B in basekeys.txt 
0C9B 0CBC;[.0797.0020.0008.0C9B]


0C9C 0C82;[.0798.0020.0002.0C9C]
0C9C 0CBC 0C82;[.0798.0020.0008.0C9C]
0C9C 0C83;[.0799.0020.0002.0C9C]
0C9C 0CBC 0C83;[.0799.0020.0008.0C9C]
% RULE for base consonant 0C9C in basekeys.txt 
0C9C 0CBC;[.079A.0020.0008.0C9C]


