1100 ; [.1000.0020.0002.1100] %
3131 ; [.1000.0020.0002.3131] %
3260 ; [.1002.0020.0002.3260] %
FFA1 ; [.1003.0020.0002.FFA1] %
326E ; [.1004.0020.0002.326E] %
4F3D ; [.1005.0020.0002.4F3D] %
4F73 ; [.1006.0020.0002.4F73] %
5047 ; [.1007.0020.0002.5047] %
50F9 ; [.1008.0020.0002.50F9] %
52A0 ; [.1009.0020.0002.52A0] %
53EF ; [.100A.0020.0002.53EF] %
5475 ; [.100B.0020.0002.5475] %
54E5 ; [.100C.0020.0002.54E5] %
5609 ; [.100D.0020.0002.5609] %
5AC1 ; [.100E.0020.0002.5AC1] %
5BB6 ; [.100F.0020.0002.5BB6] %
6687 ; [.1010.0020.0002.6687] %
67B6 ; [.1011.0020.0002.67B6] %
67B7 ; [.1012.0020.0002.67B7] %
67EF ; [.1013.0020.0002.67EF] %
6B4C ; [.1014.0020.0002.6B4C] %
73C2 ; [.1015.0020.0002.73C2] %
75C2 ; [.1016.0020.0002.75C2] %
7A3C ; [.1017.0020.0002.7A3C] %
82DB ; [.1018.0020.0002.82DB] %
8304 ; [.1019.0020.0002.8304] %
8857 ; [.101A.0020.0002.8857] %
8888 ; [.101B.0020.0002.8888] %
8A36 ; [.101C.0020.0002.8A36] %
8CC8 ; [.101D.0020.0002.8CC8] %
F903 ; [.101E.0020.0002.F903] %
8DCF ; [.101F.0020.0002.8DCF] %
8EFB ; [.1020.0020.0002.8EFB] %
8FE6 ; [.1021.0020.0002.8FE6] %
99D5 ; [.1022.0020.0002.99D5] %
4EEE ; [.1023.0020.0002.4EEE] %
50A2 ; [.1024.0020.0002.50A2] %
5496 ; [.1025.0020.0002.5496] %
54FF ; [.1026.0020.0002.54FF] %
5777 ; [.1027.0020.0002.5777] %
5B8A ; [.1028.0020.0002.5B8A] %
659D ; [.1029.0020.0002.659D] %
698E ; [.102A.0020.0002.698E] %
6A9F ; [.102B.0020.0002.6A9F] %
73C8 ; [.102C.0020.0002.73C8] %
7B33 ; [.102D.0020.0002.7B33] %
801E ; [.102E.0020.0002.801E] %
8238 ; [.102F.0020.0002.8238] %
846D ; [.1030.0020.0002.846D] %
8B0C ; [.1031.0020.0002.8B0C] %
523B ; [.1032.0020.0002.523B] %
5374 ; [.1033.0020.0002.5374] %
5404 ; [.1034.0020.0002.5404] %
606A ; [.1035.0020.0002.606A] %
6164 ; [.1036.0020.0002.6164] %
6BBC ; [.1037.0020.0002.6BBC] %
73CF ; [.1038.0020.0002.73CF] %
811A ; [.1039.0020.0002.811A] %
89BA ; [.103A.0020.0002.89BA] %
89D2 ; [.103B.0020.0002.89D2] %
95A3 ; [.103C.0020.0002.95A3] %
537B ; [.103D.0020.0002.537B] %
54AF ; [.103E.0020.0002.54AF] %
57C6 ; [.103F.0020.0002.57C6] %
6409 ; [.1040.0020.0002.6409] %
64F1 ; [.1041.0020.0002.64F1] %
6877 ; [.1042.0020.0002.6877] %
4F83 ; [.1043.0020.0002.4F83] %
520A ; [.1044.0020.0002.520A] %
58BE ; [.1045.0020.0002.58BE] %
5978 ; [.1046.0020.0002.5978] %
59E6 ; [.1047.0020.0002.59E6] %
5E72 ; [.1048.0020.0002.5E72] %
5E79 ; [.1049.0020.0002.5E79] %
61C7 ; [.104A.0020.0002.61C7] %
63C0 ; [.104B.0020.0002.63C0] %
6746 ; [.104C.0020.0002.6746] %
67EC ; [.104D.0020.0002.67EC] %
687F ; [.104E.0020.0002.687F] %
6F97 ; [.104F.0020.0002.6F97] %
764E ; [.1050.0020.0002.764E] %
770B ; [.1051.0020.0002.770B] %
78F5 ; [.1052.0020.0002.78F5] %
7A08 ; [.1053.0020.0002.7A08] %
7AFF ; [.1054.0020.0002.7AFF] %
7C21 ; [.1055.0020.0002.7C21] %
809D ; [.1056.0020.0002.809D] %
826E ; [.1057.0020.0002.826E] %
8271 ; [.1058.0020.0002.8271] %
8AEB ; [.1059.0020.0002.8AEB] %
9593 ; [.105A.0020.0002.9593] %
5058 ; [.105B.0020.0002.5058] %
6173 ; [.105C.0020.0002.6173] %
681E ; [.105D.0020.0002.681E] %
69A6 ; [.105E.0020.0002.69A6] %
7395 ; [.105F.0020.0002.7395] %
79C6 ; [.1060.0020.0002.79C6] %
831B ; [.1061.0020.0002.831B] %
884E ; [.1062.0020.0002.884E] %
8D76 ; [.1063.0020.0002.8D76] %
8FC0 ; [.1064.0020.0002.8FC0] %
9F66 ; [.1065.0020.0002.9F66] %
4E6B ; [.1066.0020.0002.4E6B] %
FA78 ; [.1067.0020.0002.FA78] %
FA36 ; [.1068.0020.0002.FA36] %
559D ; [.1069.0020.0002.559D] %
66F7 ; [.106A.0020.0002.66F7] %
6E34 ; [.106B.0020.0002.6E34] %
78A3 ; [.106C.0020.0002.78A3] %
7AED ; [.106D.0020.0002.7AED] %
845B ; [.106E.0020.0002.845B] %
8910 ; [.106F.0020.0002.8910] %
FA60 ; [.1070.0020.0002.FA60] %
874E ; [.1071.0020.0002.874E] %
97A8 ; [.1072.0020.0002.97A8] %
5676 ; [.1073.0020.0002.5676] %
696C ; [.1074.0020.0002.696C] %
79F8 ; [.1075.0020.0002.79F8] %
7FAF ; [.1076.0020.0002.7FAF] %
880D ; [.1077.0020.0002.880D] %
9DA1 ; [.1078.0020.0002.9DA1] %
52D8 ; [.1079.0020.0002.52D8] %
574E ; [.107A.0020.0002.574E] %
582A ; [.107B.0020.0002.582A] %
5D4C ; [.107C.0020.0002.5D4C] %
611F ; [.107D.0020.0002.611F] %
61BE ; [.107E.0020.0002.61BE] %
6221 ; [.107F.0020.0002.6221] %
6562 ; [.1080.0020.0002.6562] %
67D1 ; [.1081.0020.0002.67D1] %
6A44 ; [.1082.0020.0002.6A44] %
6E1B ; [.1083.0020.0002.6E1B] %
7518 ; [.1084.0020.0002.7518] %
75B3 ; [.1085.0020.0002.75B3] %
76E3 ; [.1086.0020.0002.76E3] %
77B0 ; [.1087.0020.0002.77B0] %
7D3A ; [.1088.0020.0002.7D3A] %
90AF ; [.1089.0020.0002.90AF] %
9451 ; [.108A.0020.0002.9451] %
9452 ; [.108B.0020.0002.9452] %
9F95 ; [.108C.0020.0002.9F95] %
5769 ; [.108D.0020.0002.5769] %
57F3 ; [.108E.0020.0002.57F3] %
5D41 ; [.108F.0020.0002.5D41] %
5F07 ; [.1090.0020.0002.5F07] %
61A8 ; [.1091.0020.0002.61A8] %
64BC ; [.1092.0020.0002.64BC] %
6B3F ; [.1093.0020.0002.6B3F] %
6B5B ; [.1094.0020.0002.6B5B] %
6CD4 ; [.1095.0020.0002.6CD4] %
6DE6 ; [.1096.0020.0002.6DE6] %
6F89 ; [.1097.0020.0002.6F89] %
77D9 ; [.1098.0020.0002.77D9] %
8F57 ; [.1099.0020.0002.8F57] %
9163 ; [.109A.0020.0002.9163] %
9E7B ; [.109B.0020.0002.9E7B] %
5323 ; [.109C.0020.0002.5323] %
5CAC ; [.109D.0020.0002.5CAC] %
7532 ; [.109E.0020.0002.7532] %
80DB ; [.109F.0020.0002.80DB] %
9240 ; [.10A0.0020.0002.9240] %
9598 ; [.10A1.0020.0002.9598] %
97D0 ; [.10A2.0020.0002.97D0] %
525B ; [.10A3.0020.0002.525B] %
5808 ; [.10A4.0020.0002.5808] %
59DC ; [.10A5.0020.0002.59DC] %
5CA1 ; [.10A6.0020.0002.5CA1] %
5D17 ; [.10A7.0020.0002.5D17] %
5EB7 ; [.10A8.0020.0002.5EB7] %
5F3A ; [.10A9.0020.0002.5F3A] %
5F4A ; [.10AA.0020.0002.5F4A] %
6177 ; [.10AB.0020.0002.6177] %
6C5F ; [.10AC.0020.0002.6C5F] %
757A ; [.10AD.0020.0002.757A] %
7586 ; [.10AE.0020.0002.7586] %
7CE0 ; [.10AF.0020.0002.7CE0] %
7D73 ; [.10B0.0020.0002.7D73] %
7DB1 ; [.10B1.0020.0002.7DB1] %
7F8C ; [.10B2.0020.0002.7F8C] %
8154 ; [.10B3.0020.0002.8154] %
8221 ; [.10B4.0020.0002.8221] %
8591 ; [.10B5.0020.0002.8591] %
8941 ; [.10B6.0020.0002.8941] %
FAB6 ; [.10B7.0020.0002.FAB6] %
8B1B ; [.10B8.0020.0002.8B1B] %
92FC ; [.10B9.0020.0002.92FC] %
FA09 ; [.10BA.0020.0002.FA09] %
964D ; [.10BB.0020.0002.964D] %
9C47 ; [.10BC.0020.0002.9C47] %
508B ; [.10BD.0020.0002.508B] %
50F5 ; [.10BE.0020.0002.50F5] %
58C3 ; [.10BF.0020.0002.58C3] %
5FFC ; [.10C0.0020.0002.5FFC] %
625B ; [.10C1.0020.0002.625B] %
6760 ; [.10C2.0020.0002.6760] %
6A7F ; [.10C3.0020.0002.6A7F] %
6BAD ; [.10C4.0020.0002.6BAD] %
77FC ; [.10C5.0020.0002.77FC] %
7A45 ; [.10C6.0020.0002.7A45] %
7E48 ; [.10C7.0020.0002.7E48] %
7F61 ; [.10C8.0020.0002.7F61] %
7F97 ; [.10C9.0020.0002.7F97] %
