% ============================================================================
%  This file contains customized matching keys for non decomposable characters
%  Name     :  MATCH_mar_in_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for ELangMarathi, ELOCL.72
%  Generated on : 19.2.2007 9:29:27
%  Language : Marathi
%  Region : India
%
%  Copyright ©2007 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================

0950 ; [.01BF.0020.0002.0950] % OM is the first

%Numbers
0030 ; [.06C5.0105.0002.0030] %	DIGIT ZERO
0031 ; [.06C6.0105.0002.0031] %	DIGIT ONE
0032 ; [.06C7.0105.0002.0032] %	DIGIT TWO
0033 ; [.06C8.0105.0002.0033] %	DIGIT THREE
0034 ; [.06C9.0105.0002.0034] %	DIGIT FOUR
0035 ; [.06CA.0105.0002.0035] %	DIGIT FIVE
0036 ; [.06CB.0105.0002.0036] %	DIGIT SIX
0037 ; [.06CC.0105.0002.0037] %	DIGIT SEVEN
0038 ; [.06CD.0105.0002.0038] %	DIGIT EIGHT
0039 ; [.06CE.0105.0002.0039] %	DIGIT NINE

%modifiers
0901 ; [.0BA4.0020.0002.0901] %	DEVANAGARI SIGN CANDRABINDU
0902 ; [.0BA5.0020.0002.0902] %	DEVANAGARI SIGN ANUSVARA
0903 ; [.0BA6.0020.0002.0903] %	DEVANAGARI SIGN VISARGA

%vowels
0905 ; [.0BA7.0020.0002.0905] %	DEVANAGARI LETTER A

0906 ; [.0BA8.0020.0002.0906] %	DEVANAGARI LETTER AA
0907 ; [.0BA9.0020.0002.0907] %	DEVANAGARI LETTER I
0908 ; [.0BAA.0020.0002.0908] %	DEVANAGARI LETTER II
0909 ; [.0BAB.0020.0002.0909] %	DEVANAGARI LETTER U
090A ; [.0BAC.0020.0002.090A] %	DEVANAGARI LETTER UU
090B ; [.0BAD.0020.0002.090B] %	DEVANAGARI LETTER VOCALIC R
090C ; [.0BAF.0020.0002.090C] %	DEVANAGARI LETTER VOCALIC L
090D ; [.0BB1.0020.0002.090D] %	DEVANAGARI LETTER CANDRA E
090E ; [.0BB2.0020.0002.090E] %	DEVANAGARI LETTER SHORT E
090F ; [.0BB3.0020.0002.090F] %	DEVANAGARI LETTER E
0910 ; [.0BB4.0020.0002.0910] %	DEVANAGARI LETTER AI
0911 ; [.0BB5.0020.0002.0911] %	DEVANAGARI LETTER CANDRA O
0912 ; [.0BB6.0020.0002.0912] %	DEVANAGARI LETTER SHORT O
0913 ; [.0BB7.0020.0002.0913] %	DEVANAGARI LETTER O
0914 ; [.0BB8.0020.0002.0914] %	DEVANAGARI LETTER AU

%consonants
0915 ; [.0BB9.0020.0002.0915] %	DEVANAGARI LETTER KA
0916 ; [.0BBA.0020.0002.0916] %	DEVANAGARI LETTER KHA
0917 ; [.0BBB.0020.0002.0917] %	DEVANAGARI LETTER GA
0918 ; [.0BBC.0020.0002.0918] %	DEVANAGARI LETTER GHA
0919 ; [.0BBD.0020.0002.0919] %	DEVANAGARI LETTER NGA
