0061 ; [.4e01.0000.0007.0061] % a
0041 ; [.4e02.0000.0007.0041] % A
5416 ; [.4e03.0000.0007.5416] % ﬂπ
963f ; [.4e04.0000.0007.963f] % ∞¢
554a ; [.4e05.0000.0007.554a] % ∞°
9515 ; [.4e06.0000.0007.9515] % Ôπ
9312 ; [.4e07.0000.0007.9312] % ÂH
55c4 ; [.4e08.0000.0007.55c4] % ‡ƒ
5391 ; [.4e09.0000.0007.5391] % ÖÅ
54ce ; [.4e0a.0000.0007.54ce] % ∞•
54c0 ; [.4e0b.0000.0007.54c0] % ∞ß
5509 ; [.4e0c.0000.0007.5509] % ∞¶
57c3 ; [.4e0d.0000.0007.57c3] % ∞£
6328 ; [.4e0e.0000.0007.6328] % ∞§
6b38 ; [.4e0f.0000.0007.6b38] % öG
6ebe ; [.4e10.0000.0007.6ebe] % ú‚
953f ; [.4e11.0000.0007.953f] % ÔÕ
9384 ; [.4e12.0000.0007.9384] % ÊX
5540 ; [.4e13.0000.0007.5540] % Üç
6371 ; [.4e14.0000.0007.6371] % ﬁﬂ
7691 ; [.4e15.0000.0007.7691] % ∞®
51d2 ; [.4e16.0000.0007.51d2] % É˘
5d66 ; [.4e17.0000.0007.5d66] % çÃ
6eb0 ; [.4e18.0000.0007.6eb0] % ú‹
560a ; [.4e19.0000.0007.560a] % áB
6571 ; [.4e1a.0000.0007.6571] % î±
6573 ; [.4e1b.0000.0007.6573] % î≤
769a ; [.4e1c.0000.0007.769a] % ∞}
764c ; [.4e1d.0000.0007.764c] % ∞©
6bd0 ; [.4e1e.0000.0007.6bd0] % ö±
6639 ; [.4e1f.0000.0007.6639] % ïl
5a3e ; [.4e20.0000.0007.5a3e] % ä‚
55f3 ; [.4e21.0000.0007.55f3] % ‡»
77ee ; [.4e22.0000.0007.77ee] % ∞´
853c ; [.4e23.0000.0007.853c] % ∞™
8eb7 ; [.4e24.0000.0007.8eb7] % ‹t
566f ; [.4e25.0000.0007.566f] % áÜ
6fed ; [.4e26.0000.0007.6fed] % ûG
85f9 ; [.4e27.0000.0007.85f9] % Ã@
8b6a ; [.4e28.0000.0007.8b6a] % ◊c
972d ; [.4e29.0000.0007.972d] % ˆ∞
9744 ; [.4e2a.0000.0007.9744] % Ï\
827e ; [.4e2b.0000.0007.827e] % ∞¨
4f0c ; [.4e2c.0000.0007.4f0c] % Å¥
7231 ; [.4e2d.0000.0007.7231] % ∞Æ
7839 ; [.4e2e.0000.0007.7839] % Ì¡
784b ; [.4e2f.0000.0007.784b] % ≥v
9698 ; [.4e30.0000.0007.9698] % ∞Ø
55cc ; [.4e31.0000.0007.55cc] % ‡…
5867 ; [.4e32.0000.0007.5867] % âa
5ad2 ; [.4e33.0000.0007.5ad2] % Ê»
611b ; [.4e34.0000.0007.611b] % ê€
788d ; [.4e35.0000.0007.788d] % ∞≠
53c6 ; [.4e36.0000.0007.53c6] % Ö•
66a7 ; [.4e37.0000.0007.66a7] % Í”
7477 ; [.4e38.0000.0007.7477] % Ë®
50fe ; [.4e39.0000.0007.50fe] % Év
58d2 ; [.4e3a.0000.0007.58d2] % âπ
5b21 ; [.4e3b.0000.0007.5b21] % ã‹
61d3 ; [.4e3c.0000.0007.61d3] % ë∞
8586 ; [.4e3d.0000.0007.8586] % ÀB
