%
% CHINESE_PINYIN_BASEKEYS.TXT
%
% Copyright © 2003 Nokia Corporation.
% This material, including documentation and any related 
% computer programs, is protected by copyright controlled by 
% Nokia Corporation. All rights are reserved. Copying, 
% including reproducing, storing,  adapting or translating, any 
% or all of this material requires the prior written consent of 
% Nokia Corporation. This material also contains confidential 
% information which may not be disclosed to others without the 
% prior written consent of Nokia Corporation.
%
%
%
%
% Common Sorting Order Definition File for Chinese (pinyin) 
%                    
%
%
%
% VERSION    : 2.01 10-september-2003
% REFERENCE  : pinyin sorting tables
% DESCRIPTION: Initial version.
% NOTE       : This sorting table contains all characters 
%              Chinese character by Unicode collation algorithm.
%              Characters from 4e02 - 9139 are sorted according to the reference table  
%              Character  from 9140 - 9d07 are sorted by unicode values
%
%              2.01 update: Latin capital and small changed to use same first collation key
%
% 
0020 ; [.4e01.0000.0007.0020] % space
3105 ; [.4e02.0000.0007.3105] %   ®≈ 
3106 ; [.4e03.0000.0007.3106] %   ®∆ 
3107 ; [.4e04.0000.0007.3107] %   ®« 
3108 ; [.4e05.0000.0007.3108] %   ®» 
3109 ; [.4e06.0000.0007.3109] %   ®… 
310a ; [.4e07.0000.0007.310a] %   ®  
310b ; [.4e08.0000.0007.310b] %   ®À 
310c ; [.4e09.0000.0007.310c] %   ®Ã 
310d ; [.4e0a.0000.0007.310d] %   ®Õ 
310e ; [.4e0b.0000.0007.310e] %   ®Œ 
310f ; [.4e0c.0000.0007.310f] %   ®œ 
3110 ; [.4e0d.0000.0007.3110] %   ®– 
3111 ; [.4e0e.0000.0007.3111] %   ®— 
3112 ; [.4e0f.0000.0007.3112] %   ®“ 
3113 ; [.4e10.0000.0007.3113] %   ®” 
3114 ; [.4e11.0000.0007.3114] %   ®‘ 
3115 ; [.4e12.0000.0007.3115] %   ®’ 
3116 ; [.4e13.0000.0007.3116] %   ®÷ 
3117 ; [.4e14.0000.0007.3117] %   ®◊ 
3118 ; [.4e15.0000.0007.3118] %   ®ÿ 
3119 ; [.4e16.0000.0007.3119] %   ®Ÿ 
311a ; [.4e17.0000.0007.311a] %   ®⁄ 
311b ; [.4e18.0000.0007.311b] %   ®€ 
311c ; [.4e19.0000.0007.311c] %   ®‹ 
311d ; [.4e1a.0000.0007.311d] %   ®› 
311e ; [.4e1b.0000.0007.311e] %   ®ﬁ 
311f ; [.4e1c.0000.0007.311f] %   ®ﬂ 
3120 ; [.4e1d.0000.0007.3120] %   ®‡ 
3121 ; [.4e1e.0000.0007.3121] %   ®· 
3122 ; [.4e1f.0000.0007.3122] %   ®‚ 
3123 ; [.4e20.0000.0007.3123] %   ®„ 
3124 ; [.4e21.0000.0007.3124] %   ®‰ 
3125 ; [.4e22.0000.0007.3125] %   ®Â 
3126 ; [.4e23.0000.0007.3126] %   ®Ê 
3127 ; [.4e24.0000.0007.3127] %   ®Á 
3128 ; [.4e25.0000.0007.3128] %   ®Ë 
3129 ; [.4e26.0000.0007.3129] %   ®È 
5416 ; [.4e27.0000.0007.5416] %   ﬂπ 
963f ; [.4e28.0000.0007.963f] %   ∞¢ 
554a ; [.4e29.0000.0007.554a] %   ∞° 
9515 ; [.4e2a.0000.0007.9515] %   Ôπ 
9312 ; [.4e2b.0000.0007.9312] %   ÂH 
55c4 ; [.4e2c.0000.0007.55c4] %   ‡ƒ 
54ce ; [.4e2d.0000.0007.54ce] %   ∞• 
54c0 ; [.4e2e.0000.0007.54c0] %   ∞ß 
5509 ; [.4e2f.0000.0007.5509] %   ∞¶ 
