%
% CHINESE_ZHUYIN_BASEKEYS.TXT
%
% Copyright © 2003 Nokia Corporation.
% This material, including documentation and any related 
% computer programs, is protected by copyright controlled by 
% Nokia Corporation. All rights are reserved. Copying, 
% including reproducing, storing,  adapting or translating, any 
% or all of this material requires the prior written consent of 
% Nokia Corporation. This material also contains confidential 
% information which may not be disclosed to others without the 
% prior written consent of Nokia Corporation.
%
%
%
%
%
% Common Sorting Order Definition File for Chinese (zhuyin) 
%                    
%
%
%
% VERSION    : 2.02 16-march-2007
% REFERENCE  : zhuyin sorting tables
% DESCRIPTION: Initial version.
% NOTE       : This sorting table contains all characters.
%              Characters from 4e02 - 80fb are sorted according to the reference tables.  
%              Character  from 80fc - 9d08 are sorted by unicode values.
%
%              2.01 update: Latin capital and small changed to use same first collation key
%              2.02 update: U+7881 moved to be sorted after U+59EC (error EKCN-6W9AZV)
% 
0020 ; [.4e01.0000.0007.0020] % space
516b ; [.4e02.0000.0007.516b] %   ∞À 
4ec8 ; [.4e03.0000.0007.4ec8] %   Åî 
5df4 ; [.4e04.0000.0007.5df4] %   ∞Õ 
53ed ; [.4e05.0000.0007.53ed] %   ∞» 
6733 ; [.4e06.0000.0007.6733] %   ñ[ 
82ad ; [.4e07.0000.0007.82ad] %   ∞≈ 
75a4 ; [.4e08.0000.0007.75a4] %   ∞Ã 
634c ; [.4e09.0000.0007.634c] %   ∞∆ 
7b06 ; [.4e0a.0000.0007.7b06] %   ∞  
7c91 ; [.4e0b.0000.0007.7c91] %   ÙŒ 
8c5d ; [.4e0c.0000.0007.8c5d] %   ÿ^ 
72ae ; [.4e0d.0000.0007.72ae] %   †„ 
62d4 ; [.4e0e.0000.0007.62d4] %   ∞Œ 
8307 ; [.4e0f.0000.0007.8307] %   ‹ÿ 
80c8 ; [.4e10.0000.0007.80c8] %   √_ 
83dd ; [.4e11.0000.0007.83dd] %   ›√ 
8ef7 ; [.4e12.0000.0007.8ef7] %   ›R 
8dcb ; [.4e13.0000.0007.8dcb] %   ∞œ 
8a59 ; [.4e14.0000.0007.8a59] %   ‘y 
9238 ; [.4e15.0000.0007.9238] %   ‚ì 
9b43 ; [.4e16.0000.0007.9b43] %   ˜… 
9f25 ; [.4e17.0000.0007.9f25] %   ¸ñ 
628a ; [.4e18.0000.0007.628a] %   ∞— 
9200 ; [.4e19.0000.0007.9200] %   ‚Z 
9776 ; [.4e1a.0000.0007.9776] %   ∞– 
