﻿%
% CHINESE_PINYIN_BASEKEYS.TXT
%
% Copyright © 2010 Nokia Corporation.
% This material, including documentation and any related 
% computer programs, is protected by copyright controlled by 
% Nokia Corporation. All rights are reserved. Copying, 
% including reproducing, storing,  adapting or translating, any 
% or all of this material requires the prior written consent of 
% Nokia Corporation. This material also contains confidential 
% information which may not be disclosed to others without the 
% prior written consent of Nokia Corporation.
%
%
%
%
% Common Sorting Order Definition File for Chinese (pinyin) 
%                    
%
%
%
% VERSION    : 3.00 03-april-2010
% REFERENCE  : pinyin sorting tables
% DESCRIPTION: Initial version.
% NOTE       : This sorting table contains all characters 
%              Chinese character by Unicode collation algorithm.
%              Characters from 4e02 - b09c are sorted according to the reference table  
%              Character  from b09d - bdaf are sorted by unicode values
%
%              2.01 update: Latin capital and small changed to use same first collation key
%              3.00 update: Add characters w/ pinyin from UniHan 5.0
%
% 
0020 ; [.4E01.0000.0007.0020] % space
3105 ; [.4E02.0000.0007.3105] %   ㄅ 
3106 ; [.4E03.0000.0007.3106] %   ㄆ 
3107 ; [.4E04.0000.0007.3107] %   ㄇ 
3108 ; [.4E05.0000.0007.3108] %   ㄈ 
3109 ; [.4E06.0000.0007.3109] %   ㄉ 
310A ; [.4E07.0000.0007.310A] %   ㄊ 
310B ; [.4E08.0000.0007.310B] %   ㄋ 
310C ; [.4E09.0000.0007.310C] %   ㄌ 
310D ; [.4E0A.0000.0007.310D] %   ㄍ 
310E ; [.4E0B.0000.0007.310E] %   ㄎ 
310F ; [.4E0C.0000.0007.310F] %   ㄏ 
3110 ; [.4E0D.0000.0007.3110] %   ㄐ 
3111 ; [.4E0E.0000.0007.3111] %   ㄑ 
3112 ; [.4E0F.0000.0007.3112] %   ㄒ 
3113 ; [.4E10.0000.0007.3113] %   ㄓ 
3114 ; [.4E11.0000.0007.3114] %   ㄔ 
3115 ; [.4E12.0000.0007.3115] %   ㄕ 
3116 ; [.4E13.0000.0007.3116] %   ㄖ 
3117 ; [.4E14.0000.0007.3117] %   ㄗ 
3118 ; [.4E15.0000.0007.3118] %   ㄘ 
3119 ; [.4E16.0000.0007.3119] %   ㄙ 
311A ; [.4E17.0000.0007.311A] %   ㄚ 
311B ; [.4E18.0000.0007.311B] %   ㄛ 
311C ; [.4E19.0000.0007.311C] %   ㄜ 
311D ; [.4E1A.0000.0007.311D] %   ㄝ 
311E ; [.4E1B.0000.0007.311E] %   ㄞ 
311F ; [.4E1C.0000.0007.311F] %   ㄟ 
3120 ; [.4E1D.0000.0007.3120] %   ㄠ 
